DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3685492,Z MAX TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3685500,VIKINGS EXPRESS INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3685526,EFG TRUCKING & TRANSPORT LLC,FL,ORANGE,Normal,,0,1,15000
3685561,JM EXPRESS TRANSPORTATION LLC,FL,DUVAL,Normal,,0,1,15000
3685586,SANMILLS EXPRESS SOLUTIONS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3685817,NEILY TRANSPORT CORP,FL,OSCEOLA,Normal,,0,1,15000
3685865,SASSY TRUCKING LLC,FL,PASCO,Normal,,0,1,15000
3686171,JR ALL STATE TRANSPORT LLC,FL,LEE,Normal,,0,1,15000
3686184,KD X-PRESS TRUCKING INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3686305,THE MCCLOUD WAY MOVING & TRANSPORT LLC,FL,PALM BEACH,Normal,,0,1,15000
3686580,SANEUS TRANSPORT LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3686799,DULIC LOGISTICS LLC,FL,DUVAL,Normal,,0,1,15000
3686814,LOS HEREDIAS TRANSPORTATION LLC,FL,DUVAL,Normal,,0,1,15000
3686830,CA STAR TRUCK LLC,FL,HERNANDO,Normal,,0,1,15000
3687590,SUNCOAST ENTERPRISES OF MIAMI CORP,FL,BROWARD,Normal,,0,1,15000
3687788,ULTRA1PRIME LOGISTICS LLC,FL,BROWARD,Normal,,0,1,15000
3687797,PTL FREIGHT CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3687865,PUJOLS XPRESS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3687884,DURO ENTERPRISE INC,FL,BROWARD,Normal,,0,1,15000
3687913,FLT USA CORP,FL,ORANGE,Normal,,0,1,15000
3688004,FLOYD L WASHINGTON JR,FL,DUVAL,Normal,,0,1,15000
3688353,3A ARANGO TRANSPORT LLC,FL,PALM BEACH,Normal,,0,1,15000
3688797,Y&D TRANS LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3689173,K T A EXPRESS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3689312,G RAMOS TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3689472,GREENWAY CARRIERS LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3689587,QUICK N FAST TRUCKING LLC,FL,VOLUSIA,Normal,,0,1,15000
3689798,J ROD CARRIER LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3690010,BLUE DIAMOND TRANSPORT INC,FL,PALM BEACH,Normal,,0,1,15000
3690670,CHRISTMAN LOGISTICS LLC,FL,PALM BEACH,Normal,,0,1,15000
3690793,JENDDY EXPRESS LLC,FL,OSCEOLA,Normal,,0,1,15000
3690859,J&D WOODS TRUCKING LLC,FL,PUTNAM,Normal,,0,1,15000
3690879,AFE LOGISTICS LLC,FL,PALM BEACH,Normal,,0,1,15000
3691554,VNM TRANSPORT LLC,FL,PASCO,Normal,,0,1,15000
3691675,TYSON & TYSON LLC,FL,POLK,Normal,,0,1,15000
3691728,GG MATERIALS INC,FL,ORANGE,Normal,,0,1,15000
3691808,MRM TRANSPORT LLC,FL,PINELLAS,Normal,,0,1,15000
3691935,NITRO LOGISTICS INC,FL,ESCAMBIA,Normal,,0,1,15000
3691966,RIDDICK & WILLIAMS LOGISTICS LLC,FL,PALM BEACH,Normal,,0,1,15000
3691991,R MORALES APPLIANCES REPAIRS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3692004,LARA Q TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3692023,KASCO TRANSPORT LLC,FL,HERNANDO,Normal,,0,1,15000
3692031,LONG DISTANCE TRUCKING LLC,FL,POLK,Normal,,0,1,15000
3692141,SHADDAI EXPRESS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3692352,Y & Y TEAM TRUCKING LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3692599,UNITED TEAM LOGISTICS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3692840,SPAR TRANSPORT LLC,FL,DUVAL,Normal,,0,1,15000
3693254,C & P EXPRESS LINE LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3693513,RIVERA LINE LLC,FL,BROWARD,Normal,,0,1,15000
3693519,ANACAONA TRUCKING LLC,FL,SAINT LUCIE,Normal,,0,1,15000
3693523,RDFP TRANSPORTATION LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3694007,THACKER'S AUTO & TOWING LLC,FL,SANTA ROSA,Normal,,0,1,15000
3694190,METALLICA TRUCK SERVICES LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3694350,EMPIRE TRANS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3694382,P & D DELIVERY EXPRESS LLC,FL,HENDRY,Normal,,0,1,15000
3694484,LEHR TRANSPORT LLC,FL,GADSDEN,Normal,,0,1,15000
3694486,OIG TRANSPORT LLC,FL,SEMINOLE,Normal,,0,1,15000
3694498,LG FAMILY TRANSPORT LLC,FL,BROWARD,Normal,,0,1,15000
3694617,VANCLAU TRUCKING SERVICES,FL,MIAMI-DADE,High Risk,,0,1,17500
3694734,JACK STRONG TRUCKING INC,FL,BROWARD,Normal,,0,1,15000
3694891,CANERIVER TRANSPORT LLC,FL,LAKE,Normal,,0,1,15000
3695361,ALLIANT VAN LINES LLC,FL,PALM BEACH,Normal,,0,1,15000
